Words,Counts
menceritakan,14601
alaihi,9928
wasallam,9885
shallallahu,9864
beliau,9243
orang,7645
nabi,6862
rasulullah,6159
allah,5355
bersabda,4245
kepadaku,3470
mengabarkan,3310
bercerita,2632
shalat,2553
abu,2523
mendengar,2454
laki,2363
bin,2286
al,2225
radliallahu,1869
sesungguhnya,1417
wanita,1201
umar,1179
ya,1175
anak,1165
shallallahualaihiwasallam,1065
ayat,993
kecuali,980
anhu,960
engkau,957
sungguh,900
nya,887
kaum,875
ibnu,870
menemui,855
kali,805
aisyah,803
abdullah,801
air,789
lantas,754
malam,741
masuk,660
berdiri,649
harta,633
wa,612
bakar,611
duduk,603
hadits,603
unta,589
rumah,588
manusia,584
salah,567
perang,565
sahabat,552
melaksanakan,548
salam,518
surga,507
madinah,505
seraya,501
musa,501
membawa,497
kurma,495
bani,476
pergi,475
muhammad,473
anhuma,472
isteri,469
membaca,463
barangsiapa,458
qs,454
tangan,453
hamba,435
rakaat,424
makan,421
puluh,412
anha,412
memiliki,411
neraka,403
abbas,401
tangannya,400
masjid,399
makkah,390
anshar,388
surat,384
kepadamu,381
turun,377
budak,377
mengambil,364
memerintahkan,361
ali,361
mu,343
kain,343
kebaikan,339
melarang,335
hewan,334
kambing,330
makanan,325
seandainya,324
dunia,317
an,315
penduduk,315
berangkat,314
jalan,310
nama,307
islam,307
rasul,306
pohon,303
jibril,301
berjalan,299
pintu,297
tanah,295
ummu,295
tidur,293
malaikat,290
langit,290
firman,286
sujud,284
sakit,280
bakr,278
selesai,274
yahudi,272
matahari,265
meninggal,260
anas,259
baginya,253
beriman,252
meninggalkan,250
kabah,249
ibrahim,248
dosa,246
membunuh,245
si,243
haji,242
perkara,242
melanjutkan,242
minum,240
umrah,239
hak,237
berbuat,236
lakukan,235
kiamat,235
daging,235
bersumpah,234
muslimin,230
bumi,226
saudara,225
tujuh,225
batu,223
berfirman,221
tatkala,221
negeri,221
kepalanya,220
quraisy,220
seekor,220
darinya,218
mengangkat,218
sufyan,218
semoga,217
isterinya,217
maksudnya,216
perempuan,215
sisi,213
maha,212
utsman,212
terbuat,211
taala,210
suka,210
pasukan,210
utusan,208
tinggal,208
niscaya,208
mengutus,207
menghadap,206
menurunkan,205
rabb,203
berdoa,203
pahala,202
suara,201
kuda,201
zubair,199
suku,198
berperang,196
berilah,196
arah,196
mati,196
izin,195
dimana,195
dengannya,195
muslim,194
abdurrahman,193
az,192
sepuluh,192
mata,192
milik,192
berdua,192
fulan,191
quran,190
diriwayatkan,187
amru,187
laa,187
tanda,185
urusan,185
kepala,185
diatas,184
hadapan,184
zaid,183
berita,183
perjalanan,182
kaki,181
menjadikan,181
pagi,181
dzat,180
kafir,178
thawaf,178
fitnah,176
berbicara,176
hurairah,176
mencari,175
binti,173
arab,171
khaibar,171
kitab,170
pakaian,170
puasa,169
berpuasa,169
pulang,168
wajah,168
menangis,168
kalangan,168
mengikuti,168
zakat,166
lihat,166
musuh,166
kota,164
badar,163
baju,163
ku,163
hai,163
sebelah,162
rambut,161
barang,160
istri,159
seorangpun,159
keluarga,159
darah,158
berwudlu,158
langsung,158
bertemu,157
mengenakan,156
melewati,156
emas,155
alaihissalam,155
ashar,154
raja,152
hujan,152
ucapan,152
pemimpin,151
haram,150
siang,150
peristiwa,148
buah,148
api,148
malik,147
tuan,147
bukit,147
saad,147
wahyu,146
menyembelih,146
hajji,146
diriku,145
hidup,145
bersaksi,145
penghuni,145
beli,145
berhak,144
keledai,143
jalur,143
seratus,142
berlindung,141
adam,141
salamah,140
kematian,140
hati,139
kalimat,138
membunuhnya,138
said,137
agama,137
disana,137
kakinya,137
menunaikan,136
jumat,136
bersamanya,136
rukuk,136
keluarganya,135
marah,135
bilal,135
shalih,135
shubuh,135
kau,134
khawatir,133
berihram,133
peperangan,133
melakukannya,132
turunlah,132
jual,131
diturunkan,130
adzan,130
meletakkan,130
setan,129
sallam,129
singgah,128
thalhah,128
sembilan,128
kabar,127
susu,127
bapakku,127
redaksi,127
bejana,127
ekor,127
memuji,126
keras,126
isyarat,126
rumahnya,126
wafat,126
mimbar,125
mengeluarkan,125
