"1","1","Telah mengabarkan kepada kami [Qutaibah] dia berkata; telah menceritakan kepada kami [Sufyan] dari [Az Zuhri] dari [Abu Salamah] dari [Abu Hurairah], Nabi shallallahu 'alaihi wasallam bersabda: "" Apabila salah seorang dari kalian bangun dari tidurnya, jangan mencelupkan tangannya ke tempat wudlunya sehingga dia mencuci tangannya sebanyak tiga kali, karena salah seorang dari kalian tidak tahu di mana tangannya bermalam."""
"2","3","Telah mengabarkan kepada kami [Ahmad bin Abdah] dia berkata; Telah menceritakan kepada kami [Hammad bin Zaid] berkata; telah mengabarkan kepada kami [Ghalan bin Jarir] dari [Abu Burdah] dari [Abu Musa] dia berkata; ""Saya menemui Rasulullah shallallahu 'alaihi wasallam, sedang beliau sedang bersiwak, dan ujung siwak berada di ujung lidahnya beliau mengucapkan; Aa', Aa'. "
"3","4","Telah mengabarkan kepada kami [Amru bin Ali] telah menceritakan kepada kami [Yahya -Yaitu Ibnu Sa'id] dia berkata; telah menceritakan kepada kami [Qurrah bin bin Khalid] berkata; telah menceritakan kepada kami [Humaid bin Hilal] berkata; telah menceritakan kepadaku [Abu Burdah] dari [Abu Musa] dia berkata, ""Aku pernah menghadap kepada Rasulullah shallallahu 'alaihi wasallam dan bersamaku dua laki-laki dari bani Asy'ari; satu di sebelah kananku dan yang satu lagi di sebelah kiriku, sedangkan Rasulullah shallallahu 'alaihi wasallam sedang bersiwak. Lalu kedua laki-laki tadi meminta jabatan kepegawaian kepada beliau, maka aku Abu Musa berkata, 'demi Dzat yang mengutus engkau sebagai Nabi pembawa kebenaran, dua orang laki-laki tadi tidak mengungkapkan uneg-unegnya kepadaku dan aku juga tidak sadar kalau keduanya meminta jabatan kepegawaian, kemudian seolah-olah aku melihat siwak beliau yang berada di bawah bibirnya sehingga menyatu dan naik. Lalu beliau bersabda, 'kami tidak -atau tidak akan - meminta pertolongan orang yang menginginkan jabatan kepegawaian, maka pergilah kamu'. Beliau mengutusnya ke Yaman, dan diboncengkan oleh Mu'adz bin Jabal Radliyallahu'anhuma "
"4","5","Telah mengabarkan kepada kami [Humaid bin Mas'adah] dan [Muhammad bin Abdul A'la] dari [Yazid] yaitu Ibnu Jura'i dia berkata; telah menyampaikan kepadaku [Abdurrahman bin Abu 'Atiq] dia berkata; [ayahku] telah berkata kepadaku; saya mendengar dari [Aisyah] dari Nabi shallallahu 'alaihi wasallam beliau bersabda: ""Bersiwak mendatangkan kewangian mulut, dan mendapat ridha Allah."""
"5","7","Telah mengabarkan kepada kami [Qutaibah bin Sa'id] dari [Malik] dari [Abu Zinad] dari [Al A'araj] dari [Abu Hurairah] dia berkata; ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Seandainya aku tidak khawatir memberatkan umatku, aku pasti memerintahkan mereka untuk bersiwak setiap kali shalat."" "
"6","8","Telah mengabarkan kepada kami [Ali bin Khasram] dia berkata; telah menceritakan kepada kami [Isa -yaitu Ibnu Yunus] dari [Mis'ar] dari [Miqdam yaitu Ibnu Syuraih] dari [Ayahnya] dia berkata; ""Aku bertanya kepada Aisyah 'Apa yang pertama kali Rasulullah shallallahu 'alaihi wasallam kerjakan ketika masuk ke dalam rumahnya? ['Aisyah] berkata, 'Bersiwak'."""
"7","10","Telah mengabarkan kepada kami [Muhammad bin Abdul A'la] dia berkata; telah menceritakan kepada kami [Al Mu'tamir] berkata; saya mendengar [Ma'mar] dari [Zuhri] dari [Sa'id bin Musayyab] dari [Abu Hurairah] dari Rasulullah shallallahu 'alaihi wasallam beliau bersabda: ""Lima perkara yang termasuk fitrah, memotong kumis, mencabut bulu ketiak, memotong kuku, mencukur bulu kemaluan, dan berkhitan."" "
"8","11","Telah mengabarkan kepada kami [Muhammad bin Abdullah bin Yazid] dia berkata; telah menceritakan kepada kami [Sufyan] dari [Zuhri] dari [Sa'id bin Musayyab] dari [Abu Hurairah] dari Rasulullah shallallahu 'alaihi wasallam beliau bersabda: ""Ada lima perkara yang termasuk fitrah yaitu: berkhitan, mencukur bulu kemaluan, mencabut bulu ketiak, memotong kuku, dan memotong kumis."" "
"9","12","Telah mengabarkan kepada kami [Harits bin Miskin] telah dibacakan kepadanya dan saya mendengar dari [Ibnu Wahb] dari [Handzalah bin Abu Sufyan] dari [Nafi'] dari [Ibnu Umar] bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: ""Termasuk fitrah adalah memotong kuku, memotong kumis, dan mencukur bulu kemaluan."" "
"10","14","Telah mengabarkan kepada kami [Qutaibah] dia berkata; telah menceritakan kepada kami [Ja'far yaitu Ibnu Sulaiman] dari [Abu 'Imran Al Jauny] dari [Anas bin Malik] dia berkata; ""Rasulullah shallallahu 'alaihi wasallam menentukan waktu bagi kita dalam masalah memotong kumis, memotong kuku, mencukur bulu kemaluan, dan mencabut bulu ketiak, yaitu supaya kami tidak membiarkannya lebih dari empat puluh hari."" Dalam kesempatan lain beliau bersabda: ""Empat puluh malam."""
"11","15","Telah mengabarkan kepada kami [Ubaidillah bin Sa'id] dia berkata; telah menceritakan kepada kami [Yahya yaitu Ibnu Sa'id] dari [Ubaidillah] Telah mengabarkan kepadaku [Nafi'] dari [Ibnu Umar] dari Rasulullah shallallahu 'alaihi wasallam beliau bersabda: ""Pendekkan kumis dan biarkan (panjangkan) jenggot."""
"12","17","Telah mengabarkan kepada kami [Ali bin Hujr] Telah memberitakan kepada kami [Ismail] dari [Muhammad bin Amr] dari [Abu Salamah] dari [Al Mughirah bin Syu'bah], apabila Rasulullah shallallahu 'alaihi wasallam pergi ke tempat (WC), beliau menjauh. Dia berkata, ""Pernah Beliau shallallahu 'alaihi wasallam pergi untuk buang hajat saat safar. Lalu beliau berkata, 'Ambilkan air wudlu'. Aku segera mengambilkan air wudlu, beliau segera berwudlu dan membasuh kedua sepatunya (khuf)."" Ini sebagaimana di katakan Syaikh Ismail yaitu Ibnu Ja'far bin Abu Katsir Al Qori "
"13","18","Telah mengabarkan kepada kami [Ishaq bin Ibrahim] dia berkata; Telah memberitakan kepada kami [Isa bin Yunus] berkata; Telah memberitakan kepada kami [Al A'masy] dari [Syaqiq] dari [Hudzaifah] dia berkata: ""Aku pernah berjalan bersama Rasulullah shallallahu 'alaihi wasallam. Ketika sampai di tempat pembuangan sampah suatu kaum, beliau kencing sambil berdiri, maka aku segera menjauh darinya. Beliau kemudian memanggilku, dan aku di belakangnya hingga beliau selesai. Beliau lalu berwudlu dan mengusap kedua sepatunya (khuf)."""
"14","19","Telah mengabarkan kepada kami [Ishaq bin Ibrahim] dia berkata; Telah memberitakan kepada kami [Ismail] dari [Abdul Aziz bin Shuhaib] dari [Anas bin Malik] dia berkata; ""Rasulullah shallallahu 'alaihi wasallam apabila masuk WC, beliau membaca -doa-, 'Ya Allah, aku berlindung kepada-Mu dari kejahatan setan laki-laki dan setan perempuan."" "
"15","21","Telah mengabarkan kepada kami [Muhammad bin Manshur] dia berkata; telah menceritakan kepada kami [Sufyan] dari [Az Zuhri] dari ['Atha bin Yazid] dari [Abu Ayyub Al Anshari] bahwa Rasulullah shallallahu 'alaihi wasallam bersabda, ""Jangan kalian menghadap kiblat dan jangan membelakanginya ketika buang air besar atau buang air kecil, tetapi menghadaplah ke timur atau barat."""
"16","22","Telah mengabarkan kepada kami [Ya'qub bin Ibrahim] dia berkata; Telah memberitakan kepada kami [Ghundar] berkata; Telah memberitakan kepada kami [Ma'mar] berkata; Telah memberitakan kepada kami [Ibnu Syihab] dari [Atha bin Yazid] dari [Abu Ayub Al Anshari] dia berkata; ""Rasulullah shallallahu 'alaihi wasallam bersabda: ""Bila salah seorang dari kalian ingin buang air besar, jangan menghadap kiblat, tetapi menghadaplah ke timur atau barat."""
"17","24","Telah mengabarkan kepada kami [Yahya bin Durusta] dia berkata; Telah memberitakan kepada kami [Abu Ismail yaitu Al Qannad] berkata; telah menceritakan kepadaku [Yahya bin Abu katsir] bahwa [Abdullah bin Abu Qatadah] telah menceritakan kepadanya dari [Ayahnya], bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: ""Apabila salah seorang dari kalian buang air kecil, jangan menyentuh kemaluannya dengan tangan kanannya."""
"18","25","Telah mengabarkan kepada kami [Hannad bin As Sariy] dari [Waki'] dari [Hisyam] dari [Yahya yaitu Ibnu Katsir] dari [Abdullah bin Abu Qatadah] dari [Ayahnya] berkata; bahwa Rasulullah shallallahu 'alaihi wasallam bersabda: ""Apabila salah seorang dari kalian buang air kecil, jangan menyentuh kemaluannya dengan tangan kanannya."""
"19","26","Telah mengabarkan kepada kami [Muammal bin Hisyam] dia berkata; Telah memberitakan kepada kami [Ismail] berkata; Telah mengabarkan kepada kami [Syu'bah] dari [Sulaiman] dari [Abu Wa'il] dari [Hudzaifah] ""Rasulullah shallallahu 'alaihi wasallam pernah mendatangi tempat pembuangan sampah suatu kaum, lalu ia buang air kecil dengan berdiri."""
"20","28","Telah mengabarkan kepada kami [Sulaiman bin 'Ubaidillah] dia berkata; Telah memberitakan kepada kami [Bahzun] berkata; Telah memberitakan kepada kami [Syu'bah] dari [Sulaiman] dan [Manshur] dari [Abu Wa'il] dari [Hudzaifah] bahwasannya Rasulullah shallallahu 'alaihi wasallam pernah berjalan menuju tempat pembuangan sampah suatu kaum, lalu ia buang air kecil dengan berdiri. Sulaiman berkata dalam hadisnya; ""dan Beliau mengusap kedua khufnya (kedua sepatunya) sedangkan Manshur tidak menyebutkan tentang mengusap khuf sepatu."""
"21","29","Telah mengabarkan kepada kami [Ali bin Hujr] dia berkata; Telah memberitakan kepada kami [Syarik] dari [Miqdam bin Syuraih] dari [Ayahnya] dari [Aisyah] dia berkata: ""Barangsiapa mengabarkan kepadamu bahwa Rasulullah shallallahu 'alaihi wasallam buang air kecil sambil berdiri, jangan kamu mempercayainya, karena Rasulullah shallallahu 'alaihi wasallam tidak buang air kecil kecuali sambil duduk."" "
